subjCode,label_cond,block,label,first_stim,second_stim,third_stim,first_stim_cat,isRight,RT
CEL_130,0.5,1,talp,A_7,A_7,B_3,A,1,904.908492
CEL_130,0.5,1,gek,B_2,A_14,B_2,B,1,633.6498621
CEL_130,0.5,1,talp,A_19,B_6,A_19,A,1,682.1730188
CEL_130,0.5,1,talp,A_14,A_14,B_6,A,1,617.9297946
CEL_130,0.5,1,gek,B_14,B_14,A_15,B,1,601.8425811
CEL_130,0.5,1,talp,A_9,A_9,B_14,A,1,475.9895343
CEL_130,0.5,1,talp,A_19,A_19,B_5,A,1,467.0240607
CEL_130,0.5,1,talp,A_9,B_13,A_9,A,1,684.1079788
CEL_130,0.5,1,talp,A_19,A_19,B_9,A,1,401.1938174
CEL_130,0.5,1,gek,B_13,A_19,B_13,B,1,469.7605323
CEL_130,0.5,1,talp,A_24,A_24,B_9,A,1,428.0050932
CEL_130,0.5,1,gek,B_13,A_14,B_13,B,1,510.1507765
CEL_130,0.5,1,talp,A_7,B_13,A_7,A,1,543.0406108
CEL_130,0.5,1,talp,A_17,A_17,B_7,A,1,384.6354275
CEL_130,0.5,1,gek,B_5,B_5,A_3,B,1,464.9204123
CEL_130,0.5,1,talp,A_15,B_13,A_15,A,1,683.0139023
CEL_130,0.5,1,gek,B_3,A_3,B_3,B,1,494.7885724
CEL_130,0.5,1,gek,B_12,A_17,B_12,B,1,374.419352
CEL_130,0.5,1,gek,B_2,B_2,A_6,B,1,390.7290299
CEL_130,0.5,1,talp,A_3,B_14,A_3,A,1,424.7561535
CEL_130,0.5,1,talp,A_14,A_14,B_7,A,1,400.6378166
CEL_130,0.5,1,gek,B_7,A_6,B_7,B,1,450.4512665
CEL_130,0.5,1,gek,B_14,B_14,A_19,B,1,434.1281445
CEL_130,0.5,1,talp,A_19,A_19,B_7,A,0,419.6686018
CEL_130,0.5,1,talp,A_7,A_7,B_5,A,1,432.9882946
CEL_130,0.5,1,gek,B_6,A_3,B_6,B,1,425.3659297
CEL_130,0.5,1,gek,B_5,A_15,B_5,B,1,543.1820918
CEL_130,0.5,1,talp,A_24,A_24,B_6,A,1,551.7224823
CEL_130,0.5,1,talp,A_17,A_17,B_14,A,1,424.0669941
CEL_130,0.5,1,talp,A_24,A_24,B_7,A,1,417.8949685
CEL_130,0.5,1,gek,B_2,B_2,A_3,B,1,490.3645727
CEL_130,0.5,1,gek,B_14,A_6,B_14,B,1,424.4075725
CEL_130,0.5,1,gek,B_3,B_3,A_15,B,1,411.6675672
CEL_130,0.5,1,talp,A_9,A_9,B_5,A,1,348.79722
CEL_130,0.5,1,talp,A_9,A_9,B_3,A,1,403.4434282
CEL_130,0.5,1,gek,B_9,B_9,A_7,B,1,360.4594737
CEL_130,0.5,1,gek,B_14,B_14,A_24,B,1,367.4864664
CEL_130,0.5,1,gek,B_12,A_9,B_12,B,1,672.2632723
CEL_130,0.5,1,gek,B_14,A_7,B_14,B,1,537.5164528
CEL_130,0.5,1,talp,A_6,A_6,B_6,A,1,446.7122648
CEL_130,0.5,1,talp,A_15,A_15,B_6,A,1,375.3165717
CEL_130,0.5,1,talp,A_15,B_9,A_15,A,1,524.5760696
CEL_130,0.5,1,talp,A_3,B_13,A_3,A,1,383.3112044
CEL_130,0.5,1,gek,B_6,A_9,B_6,B,1,441.8094067
CEL_130,0.5,1,gek,B_3,A_6,B_3,B,1,388.7034841
CEL_130,0.5,1,gek,B_5,A_17,B_5,B,1,391.253982
CEL_130,0.5,1,gek,B_12,A_14,B_12,B,1,427.8831379
CEL_130,0.5,1,gek,B_7,B_7,A_3,B,1,439.2608292
CEL_130,0.5,1,gek,B_7,A_7,B_7,B,1,455.1454245
CEL_130,0.5,1,gek,B_12,A_24,B_12,B,1,357.6154511
CEL_130,0.5,1,gek,B_13,A_6,B_13,B,1,379.9419096
CEL_130,0.5,1,talp,A_14,A_14,B_3,A,1,504.8449216
CEL_130,0.5,1,gek,B_7,B_7,A_15,B,1,520.7192737
CEL_130,0.5,1,talp,A_7,A_7,B_12,A,1,381.2507682
CEL_130,0.5,1,gek,B_2,B_2,A_19,B,1,366.637581
CEL_130,0.5,1,gek,B_9,A_9,B_9,B,1,384.7836303
CEL_130,0.5,1,gek,B_6,A_17,B_6,B,1,434.8765211
CEL_130,0.5,1,talp,A_7,B_6,A_7,A,0,334.3175114
CEL_130,0.5,1,gek,B_9,A_6,B_9,B,1,571.1876333
CEL_130,0.5,1,talp,A_17,A_17,B_13,A,1,413.2286587
CEL_130,0.5,1,talp,A_9,B_7,A_9,A,1,415.227317
CEL_130,0.5,1,gek,B_2,A_24,B_2,B,1,400.5622747
CEL_130,0.5,1,talp,A_3,B_9,A_3,A,1,518.9837315
CEL_130,0.5,1,talp,A_6,A_6,B_5,A,1,386.4135416
CEL_130,0.5,1,talp,A_24,B_13,A_24,A,1,463.0427489
CEL_130,0.5,1,gek,B_9,A_17,B_9,B,1,454.7177807
CEL_130,0.5,1,talp,A_7,B_2,A_7,A,1,511.7425967
CEL_130,0.5,1,talp,A_14,B_5,A_14,A,1,402.5977436
CEL_130,0.5,1,gek,B_12,B_12,A_15,B,1,439.7710571
CEL_130,0.5,1,talp,A_24,B_3,A_24,A,1,441.9409647
CEL_130,0.5,1,talp,A_14,B_14,A_14,A,1,400.8058652
CEL_130,0.5,1,gek,B_2,B_2,A_15,B,1,477.1684355
CEL_130,0.5,1,talp,A_17,B_3,A_17,A,1,566.1391327
CEL_130,0.5,1,talp,A_17,A_17,B_2,A,1,388.4381275
CEL_130,0.5,1,talp,A_19,B_3,A_19,A,1,493.1913104
CEL_130,0.5,1,talp,A_3,A_3,B_12,A,1,499.20457
CEL_130,0.5,1,gek,B_9,B_9,A_14,B,1,412.2139651
CEL_130,0.5,1,talp,A_9,A_9,B_2,A,1,392.3109276
CEL_130,0.5,1,gek,B_12,A_19,B_12,B,1,411.5267263
CEL_130,0.5,1,gek,B_12,B_12,A_6,B,1,372.4648666
CEL_130,0.5,1,gek,B_5,B_5,A_24,B,1,411.1454962
CEL_130,0.5,2,gek,B_12,B_12,A_7,B,1,390.1557443
CEL_130,0.5,2,gek,B_12,B_12,A_24,B,1,351.4568694
CEL_130,0.5,2,talp,A_19,A_19,B_2,A,1,423.6396705
CEL_130,0.5,2,gek,B_7,B_7,A_15,B,1,383.5570354
CEL_130,0.5,2,gek,B_3,B_3,A_24,B,1,585.1724788
CEL_130,0.5,2,gek,B_5,A_6,B_5,B,0,493.3564779
CEL_130,0.5,2,talp,A_17,B_14,A_17,A,1,456.7506888
CEL_130,0.5,2,talp,A_3,B_9,A_3,A,1,580.9165274
