"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"1",1629.91,-0.5,"noise","circle_2","square_2","S",1,"square_2",1,127
"2",603.6299998,-0.5,"noise","square_3","circle_5","C",1,"circle_5",1,127
"3",962.0150002,-0.5,"noise","circle_4","square_4","S",1,"square_4",1,127
"4",1200.145,-0.5,"noise","circle_5","square_5","S",1,"square_5",1,127
"5",1442.34,-0.5,"noise","circle_5","circle_5","C",1,"square_6",1,127
"6",1041.425,-0.5,"noise","square_7","circle_4","C",1,"circle_4",1,127
"7",3617.06,-0.5,"noise","square_5","circle_7","C",1,"circle_7",1,127
"8",695.1799998,-0.5,"noise","circle_7","square_2","S",1,"square_2",1,127
"9",619.1400001,-0.5,"noise","circle_3","circle_3","C",1,"square_3",1,127
"10",730.3550001,-0.5,"noise","circle_2","circle_2","C",1,"square_7",1,127
"11",912.6249999,-0.5,"noise","circle_3","circle_3","C",1,"square_6",1,127
"12",498.5750001,-0.5,"noise","circle_4","square_3","S",1,"square_3",1,127
"13",449.2199998,-0.5,"noise","circle_7","circle_7","C",1,"square_7",1,127
"14",545.8550001,-0.5,"noise","circle_2","square_3","S",1,"square_3",1,127
"15",723.0800004,-0.5,"noise","square_6","square_6","S",1,"circle_6",0,127
"16",387.815,-0.5,"noise","circle_5","circle_5","C",1,"square_7",1,127
"17",608.0800002,-0.5,"noise","square_5","square_5","S",1,"circle_2",1,127
"18",468.6350003,-0.5,"noise","circle_5","square_4","S",1,"square_4",1,127
"19",434.5499999,-0.5,"noise","circle_6","circle_6","C",1,"square_5",1,127
"20",471.7850001,-0.5,"noise","square_6","circle_2","C",1,"circle_2",1,127
"21",370.66,-0.5,"noise","square_4","circle_7","C",1,"circle_7",1,127
"22",406.8650003,-0.5,"noise","circle_5","circle_5","C",1,"square_2",1,127
"23",430.4400003,-0.5,"noise","square_7","circle_3","C",1,"circle_3",1,127
"24",416.615,-0.5,"noise","circle_4","square_5","S",1,"square_5",1,127
"25",311.1700001,-0.5,"noise","circle_3","circle_3","C",1,"square_5",1,127
"26",512.755,-0.5,"noise","square_6","square_6","S",1,"circle_7",1,127
"27",427.2800004,-0.5,"noise","square_3","square_3","S",1,"circle_6",1,127
"28",549.3549998,-0.5,"noise","circle_4","circle_4","C",1,"square_2",0,127
"29",642.3150003,-0.5,"noise","circle_4","square_6","S",1,"square_6",1,127
"30",632.1049999,-0.5,"noise","square_4","square_4","S",1,"circle_2",1,127
"31",414.1250001,-0.5,"noise","square_4","circle_6","C",1,"circle_6",1,127
"32",751.8549999,-0.5,"noise","square_2","square_2","S",1,"circle_6",1,127
"33",500.12,-0.5,"noise","circle_3","circle_3","C",2,"square_2",1,127
"34",659.2650004,-0.5,"noise","circle_5","square_2","S",2,"square_2",1,127
"35",645.2199998,-0.5,"noise","square_2","circle_6","C",2,"circle_6",1,127
"36",476.7550002,-0.5,"noise","circle_6","circle_6","C",2,"square_7",1,127
"37",518.9,-0.5,"noise","circle_7","circle_7","C",2,"square_2",1,127
"38",2001.25,-0.5,"noise","square_7","circle_7","C",2,"circle_7",1,127
"39",390.59,-0.5,"noise","circle_5","circle_5","C",2,"square_3",0,127
"40",1603.625,-0.5,"noise","square_6","square_6","S",2,"circle_5",1,127
"41",558.6399999,-0.5,"noise","circle_2","square_2","S",2,"square_2",1,127
"42",242.9899997,-0.5,"noise","circle_3","circle_3","C",2,"square_4",1,127
"43",553.905,-0.5,"noise","circle_4","square_7","S",2,"square_7",1,127
"44",464.72,-0.5,"noise","circle_4","square_6","S",2,"square_6",1,127
"45",522.7950001,-0.5,"noise","square_7","circle_2","C",2,"circle_2",1,127
"46",472.6300002,-0.5,"noise","square_2","circle_4","C",2,"circle_4",1,127
"47",469.3150003,-0.5,"noise","square_5","square_5","S",2,"circle_5",1,127
"48",451.5149998,-0.5,"noise","square_6","circle_3","C",2,"circle_3",1,127
"49",999.3599998,-0.5,"noise","circle_4","square_4","S",2,"square_4",1,127
"50",679.6299997,-0.5,"noise","circle_4","circle_4","C",2,"square_3",1,127
"51",415.9850003,-0.5,"noise","circle_2","square_6","S",2,"square_6",1,127
"52",419.3449998,-0.5,"noise","square_3","square_3","S",2,"circle_7",1,127
"53",533.5400002,-0.5,"noise","square_6","square_6","S",2,"circle_6",1,127
"54",457.225,-0.5,"noise","square_3","circle_3","C",2,"circle_3",1,127
"55",450.255,-0.5,"noise","square_5","square_5","S",2,"circle_3",1,127
"56",533.5749998,-0.5,"noise","circle_2","square_3","S",2,"square_3",1,127
"57",484.8950002,-0.5,"noise","circle_5","circle_5","C",2,"square_4",1,127
"58",455.8699997,-0.5,"noise","circle_7","circle_7","C",2,"square_4",1,127
"59",639.3250003,-0.5,"noise","square_3","circle_6","C",2,"circle_6",1,127
"60",547.1700002,-0.5,"noise","circle_7","square_5","S",2,"square_5",1,127
"61",661.4000001,-0.5,"noise","circle_5","square_7","S",2,"square_7",1,127
"62",495.0199998,-0.5,"noise","square_4","square_4","S",2,"circle_2",1,127
