"","subjCode","cluster_ID","cluster_nc","cond","is_A","is_protoA","is_protoB","num_items","is_prototype","Condition","prop_A","prop_B","purity"
"1","CEL_baseline_124",1,2,-1,6,1,0,9,"A","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"2","CEL_baseline_128",1,2,-1,10,1,1,13,"AB","Baseline",0.769230769230769,0.230769230769231,0.769230769230769
"3","CEL_baseline_133",1,2,-1,6,1,1,10,"AB","Baseline",0.6,0.4,0.6
"4","CEL_baseline_162",1,2,-1,8,1,0,9,"A","Baseline",0.888888888888889,0.111111111111111,0.888888888888889
"5","CEL_baseline_168",1,2,-1,7,1,1,12,"AB","Baseline",0.583333333333333,0.416666666666667,0.583333333333333
"6","CEL_baseline_169",1,2,-1,5,1,0,10,"A","Baseline",0.5,0.5,0.5
"7","CEL_baseline_177",1,2,-1,10,1,0,10,"A","Baseline",1,0,1
"8","CEL_baseline_181",1,2,-1,5,1,1,9,"AB","Baseline",0.555555555555556,0.444444444444444,0.555555555555556
"9","CEL_baseline_182",1,2,-1,10,1,0,10,"A","Baseline",1,0,1
"10","CEL_baseline_124",2,2,-1,4,0,1,11,"B","Baseline",0.363636363636364,0.636363636363636,0.636363636363636
"11","CEL_baseline_128",2,2,-1,0,0,0,7,"None","Baseline",0,1,1
"12","CEL_baseline_133",2,2,-1,4,0,0,10,"None","Baseline",0.4,0.6,0.6
"13","CEL_baseline_162",2,2,-1,2,0,1,11,"B","Baseline",0.181818181818182,0.818181818181818,0.818181818181818
"14","CEL_baseline_168",2,2,-1,3,0,0,8,"None","Baseline",0.375,0.625,0.625
"15","CEL_baseline_169",2,2,-1,5,0,1,10,"B","Baseline",0.5,0.5,0.5
"16","CEL_baseline_177",2,2,-1,0,0,1,10,"B","Baseline",0,1,1
"17","CEL_baseline_181",2,2,-1,5,0,0,11,"None","Baseline",0.454545454545455,0.545454545454545,0.545454545454545
"18","CEL_baseline_182",2,2,-1,0,0,1,10,"B","Baseline",0,1,1
"19","CEL_baseline_114",1,3,-1,7,1,0,7,"A","Baseline",1,0,1
"20","CEL_baseline_123",1,3,-1,4,1,1,6,"AB","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"21","CEL_baseline_125",1,3,-1,2,1,1,6,"AB","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"22","CEL_baseline_129",1,3,-1,10,1,0,10,"A","Baseline",1,0,1
"23","CEL_baseline_130",1,3,-1,1,1,1,3,"AB","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"24","CEL_baseline_170",1,3,-1,2,1,0,3,"A","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"25","CEL_baseline_173",1,3,-1,4,1,0,6,"A","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"26","CEL_baseline_179",1,3,-1,6,1,1,8,"AB","Baseline",0.75,0.25,0.75
"27","CEL_baseline_189",1,3,-1,4,1,1,6,"AB","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"28","CEL_baseline_114",2,3,-1,3,0,0,8,"None","Baseline",0.375,0.625,0.625
"29","CEL_baseline_123",2,3,-1,6,0,0,8,"None","Baseline",0.75,0.25,0.75
"30","CEL_baseline_125",2,3,-1,3,0,0,6,"None","Baseline",0.5,0.5,0.5
"31","CEL_baseline_129",2,3,-1,0,0,1,4,"B","Baseline",0,1,1
"32","CEL_baseline_130",2,3,-1,9,0,0,12,"None","Baseline",0.75,0.25,0.75
"33","CEL_baseline_170",2,3,-1,4,0,1,6,"B","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"34","CEL_baseline_173",2,3,-1,4,0,0,7,"None","Baseline",0.571428571428571,0.428571428571429,0.571428571428571
"35","CEL_baseline_179",2,3,-1,4,0,0,6,"None","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"36","CEL_baseline_189",2,3,-1,5,0,0,7,"None","Baseline",0.714285714285714,0.285714285714286,0.714285714285714
"37","CEL_baseline_114",3,3,-1,0,0,1,5,"B","Baseline",0,1,1
"38","CEL_baseline_123",3,3,-1,0,0,0,6,"None","Baseline",0,1,1
"39","CEL_baseline_125",3,3,-1,5,0,0,8,"None","Baseline",0.625,0.375,0.625
"40","CEL_baseline_129",3,3,-1,0,0,0,6,"None","Baseline",0,1,1
"41","CEL_baseline_130",3,3,-1,0,0,0,5,"None","Baseline",0,1,1
"42","CEL_baseline_170",3,3,-1,4,0,0,11,"None","Baseline",0.363636363636364,0.636363636363636,0.636363636363636
"43","CEL_baseline_173",3,3,-1,2,0,1,7,"B","Baseline",0.285714285714286,0.714285714285714,0.714285714285714
"44","CEL_baseline_179",3,3,-1,0,0,0,6,"None","Baseline",0,1,1
"45","CEL_baseline_189",3,3,-1,1,0,0,7,"None","Baseline",0.142857142857143,0.857142857142857,0.857142857142857
"46","CEL_baseline_115",1,4,-1,7,1,0,7,"A","Baseline",1,0,1
"47","CEL_baseline_126",1,4,-1,1,1,1,3,"AB","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"48","CEL_baseline_131",1,4,-1,5,1,0,5,"A","Baseline",1,0,1
"49","CEL_baseline_134",1,4,-1,1,1,1,3,"AB","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"50","CEL_baseline_135",1,4,-1,6,1,0,8,"A","Baseline",0.75,0.25,0.75
"51","CEL_baseline_137",1,4,-1,1,1,1,5,"AB","Baseline",0.2,0.8,0.8
"52","CEL_baseline_165",1,4,-1,5,1,0,5,"A","Baseline",1,0,1
"53","CEL_baseline_166",1,4,-1,7,1,0,7,"A","Baseline",1,0,1
"54","CEL_baseline_171",1,4,-1,6,1,0,6,"A","Baseline",1,0,1
"55","CEL_baseline_172",1,4,-1,5,1,0,6,"A","Baseline",0.833333333333333,0.166666666666667,0.833333333333333
"56","CEL_baseline_183",1,4,-1,8,1,0,8,"A","Baseline",1,0,1
"57","CEL_baseline_186",1,4,-1,9,1,0,9,"A","Baseline",1,0,1
"58","CEL_baseline_187",1,4,-1,6,1,0,6,"A","Baseline",1,0,1
"59","CEL_baseline_115",2,4,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"60","CEL_baseline_126",2,4,-1,2,0,0,7,"None","Baseline",0.285714285714286,0.714285714285714,0.714285714285714
"61","CEL_baseline_131",2,4,-1,5,0,0,5,"None","Baseline",1,0,1
"62","CEL_baseline_134",2,4,-1,5,0,0,8,"None","Baseline",0.625,0.375,0.625
"63","CEL_baseline_135",2,4,-1,2,0,0,2,"None","Baseline",1,0,1
"64","CEL_baseline_137",2,4,-1,6,0,0,6,"None","Baseline",1,0,1
"65","CEL_baseline_165",2,4,-1,5,0,0,6,"None","Baseline",0.833333333333333,0.166666666666667,0.833333333333333
"66","CEL_baseline_166",2,4,-1,3,0,0,6,"None","Baseline",0.5,0.5,0.5
"67","CEL_baseline_171",2,4,-1,4,0,0,4,"None","Baseline",1,0,1
"68","CEL_baseline_172",2,4,-1,5,0,1,6,"B","Baseline",0.833333333333333,0.166666666666667,0.833333333333333
"69","CEL_baseline_183",2,4,-1,2,0,0,2,"None","Baseline",1,0,1
"70","CEL_baseline_186",2,4,-1,1,0,0,3,"None","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"71","CEL_baseline_187",2,4,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"72","CEL_baseline_115",3,4,-1,0,0,1,3,"B","Baseline",0,1,1
"73","CEL_baseline_126",3,4,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"74","CEL_baseline_131",3,4,-1,0,0,1,3,"B","Baseline",0,1,1
"75","CEL_baseline_134",3,4,-1,4,0,0,7,"None","Baseline",0.571428571428571,0.428571428571429,0.571428571428571
"76","CEL_baseline_135",3,4,-1,1,0,1,2,"B","Baseline",0.5,0.5,0.5
"77","CEL_baseline_137",3,4,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"78","CEL_baseline_165",3,4,-1,0,0,1,5,"B","Baseline",0,1,1
"79","CEL_baseline_166",3,4,-1,0,0,1,3,"B","Baseline",0,1,1
"80","CEL_baseline_171",3,4,-1,0,0,1,6,"B","Baseline",0,1,1
"81","CEL_baseline_172",3,4,-1,0,0,0,5,"None","Baseline",0,1,1
"82","CEL_baseline_183",3,4,-1,0,0,1,5,"B","Baseline",0,1,1
"83","CEL_baseline_186",3,4,-1,0,0,1,4,"B","Baseline",0,1,1
"84","CEL_baseline_187",3,4,-1,1,0,0,5,"None","Baseline",0.2,0.8,0.8
"85","CEL_baseline_115",4,4,-1,0,0,0,6,"None","Baseline",0,1,1
"86","CEL_baseline_126",4,4,-1,4,0,0,6,"None","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"87","CEL_baseline_131",4,4,-1,0,0,0,7,"None","Baseline",0,1,1
"88","CEL_baseline_134",4,4,-1,0,0,0,2,"None","Baseline",0,1,1
"89","CEL_baseline_135",4,4,-1,1,0,0,8,"None","Baseline",0.125,0.875,0.875
"90","CEL_baseline_137",4,4,-1,0,0,0,5,"None","Baseline",0,1,1
"91","CEL_baseline_165",4,4,-1,0,0,0,4,"None","Baseline",0,1,1
"92","CEL_baseline_166",4,4,-1,0,0,0,4,"None","Baseline",0,1,1
"93","CEL_baseline_171",4,4,-1,0,0,0,4,"None","Baseline",0,1,1
"94","CEL_baseline_172",4,4,-1,0,0,0,3,"None","Baseline",0,1,1
"95","CEL_baseline_183",4,4,-1,0,0,0,5,"None","Baseline",0,1,1
"96","CEL_baseline_186",4,4,-1,0,0,0,4,"None","Baseline",0,1,1
"97","CEL_baseline_187",4,4,-1,0,0,1,5,"B","Baseline",0,1,1
"98","CEL_baseline_113",1,5,-1,2,1,0,4,"A","Baseline",0.5,0.5,0.5
"99","CEL_baseline_116",1,5,-1,4,1,0,4,"A","Baseline",1,0,1
"100","CEL_baseline_118",1,5,-1,2,1,1,3,"AB","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"101","CEL_baseline_120",1,5,-1,4,1,1,6,"AB","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"102","CEL_baseline_185",1,5,-1,3,1,1,7,"AB","Baseline",0.428571428571429,0.571428571428571,0.571428571428571
"103","CEL_baseline_188",1,5,-1,3,1,0,4,"A","Baseline",0.75,0.25,0.75
"104","CEL_baseline_191",1,5,-1,1,1,1,4,"AB","Baseline",0.25,0.75,0.75
"105","CEL_baseline_196",1,5,-1,6,1,0,7,"A","Baseline",0.857142857142857,0.142857142857143,0.857142857142857
"106","CEL_baseline_113",2,5,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"107","CEL_baseline_116",2,5,-1,2,0,1,6,"B","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"108","CEL_baseline_118",2,5,-1,3,0,0,5,"None","Baseline",0.6,0.4,0.6
"109","CEL_baseline_120",2,5,-1,1,0,0,1,"None","Baseline",1,0,1
"110","CEL_baseline_185",2,5,-1,2,0,0,3,"None","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"111","CEL_baseline_188",2,5,-1,7,0,0,7,"None","Baseline",1,0,1
"112","CEL_baseline_191",2,5,-1,6,0,0,6,"None","Baseline",1,0,1
"113","CEL_baseline_196",2,5,-1,3,0,0,3,"None","Baseline",1,0,1
"114","CEL_baseline_113",3,5,-1,4,0,0,5,"None","Baseline",0.8,0.2,0.8
"115","CEL_baseline_116",3,5,-1,3,0,0,3,"None","Baseline",1,0,1
"116","CEL_baseline_118",3,5,-1,3,0,0,7,"None","Baseline",0.428571428571429,0.571428571428571,0.571428571428571
"117","CEL_baseline_120",3,5,-1,4,0,0,5,"None","Baseline",0.8,0.2,0.8
"118","CEL_baseline_185",3,5,-1,4,0,0,4,"None","Baseline",1,0,1
"119","CEL_baseline_188",3,5,-1,0,0,1,3,"B","Baseline",0,1,1
"120","CEL_baseline_191",3,5,-1,2,0,0,2,"None","Baseline",1,0,1
"121","CEL_baseline_196",3,5,-1,1,0,0,4,"None","Baseline",0.25,0.75,0.75
"122","CEL_baseline_113",4,5,-1,1,0,1,4,"B","Baseline",0.25,0.75,0.75
"123","CEL_baseline_116",4,5,-1,1,0,0,2,"None","Baseline",0.5,0.5,0.5
"124","CEL_baseline_118",4,5,-1,2,0,0,3,"None","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"125","CEL_baseline_120",4,5,-1,1,0,0,5,"None","Baseline",0.2,0.8,0.8
"126","CEL_baseline_185",4,5,-1,1,0,0,2,"None","Baseline",0.5,0.5,0.5
"127","CEL_baseline_188",4,5,-1,0,0,0,2,"None","Baseline",0,1,1
"128","CEL_baseline_191",4,5,-1,1,0,0,3,"None","Baseline",0.333333333333333,0.666666666666667,0.666666666666667
"129","CEL_baseline_196",4,5,-1,0,0,1,3,"B","Baseline",0,1,1
"130","CEL_baseline_113",5,5,-1,0,0,0,3,"None","Baseline",0,1,1
"131","CEL_baseline_116",5,5,-1,0,0,0,5,"None","Baseline",0,1,1
"132","CEL_baseline_118",5,5,-1,0,0,0,2,"None","Baseline",0,1,1
"133","CEL_baseline_120",5,5,-1,0,0,0,3,"None","Baseline",0,1,1
"134","CEL_baseline_185",5,5,-1,0,0,0,4,"None","Baseline",0,1,1
"135","CEL_baseline_188",5,5,-1,0,0,0,4,"None","Baseline",0,1,1
"136","CEL_baseline_191",5,5,-1,0,0,0,5,"None","Baseline",0,1,1
"137","CEL_baseline_196",5,5,-1,0,0,0,3,"None","Baseline",0,1,1
"138","CEL_baseline_167",1,6,-1,3,1,0,3,"A","Baseline",1,0,1
"139","CEL_baseline_184",1,6,-1,3,1,0,3,"A","Baseline",1,0,1
"140","CEL_baseline_197",1,6,-1,8,1,0,8,"A","Baseline",1,0,1
"141","CEL_baseline_167",2,6,-1,3,0,0,4,"None","Baseline",0.75,0.25,0.75
"142","CEL_baseline_184",2,6,-1,7,0,0,7,"None","Baseline",1,0,1
"143","CEL_baseline_197",2,6,-1,2,0,0,2,"None","Baseline",1,0,1
"144","CEL_baseline_167",3,6,-1,3,0,0,3,"None","Baseline",1,0,1
"145","CEL_baseline_184",3,6,-1,0,0,1,3,"B","Baseline",0,1,1
"146","CEL_baseline_197",3,6,-1,0,0,1,3,"B","Baseline",0,1,1
"147","CEL_baseline_167",4,6,-1,1,0,0,4,"None","Baseline",0.25,0.75,0.75
"148","CEL_baseline_184",4,6,-1,0,0,0,2,"None","Baseline",0,1,1
"149","CEL_baseline_197",4,6,-1,0,0,0,3,"None","Baseline",0,1,1
"150","CEL_baseline_167",5,6,-1,0,0,1,3,"B","Baseline",0,1,1
"151","CEL_baseline_184",5,6,-1,0,0,0,4,"None","Baseline",0,1,1
"152","CEL_baseline_197",5,6,-1,0,0,0,3,"None","Baseline",0,1,1
"153","CEL_baseline_167",6,6,-1,0,0,0,3,"None","Baseline",0,1,1
"154","CEL_baseline_184",6,6,-1,0,0,0,1,"None","Baseline",0,1,1
"155","CEL_baseline_197",6,6,-1,0,0,0,1,"None","Baseline",0,1,1
"156","CEL_baseline_176",1,7,-1,1,1,0,1,"A","Baseline",1,0,1
"157","CEL_baseline_195",1,7,-1,5,1,0,5,"A","Baseline",1,0,1
"158","CEL_baseline_176",2,7,-1,4,0,0,4,"None","Baseline",1,0,1
"159","CEL_baseline_195",2,7,-1,3,0,0,3,"None","Baseline",1,0,1
"160","CEL_baseline_176",3,7,-1,2,0,0,2,"None","Baseline",1,0,1
"161","CEL_baseline_195",3,7,-1,1,0,0,2,"None","Baseline",0.5,0.5,0.5
"162","CEL_baseline_176",4,7,-1,1,0,0,1,"None","Baseline",1,0,1
"163","CEL_baseline_195",4,7,-1,1,0,0,2,"None","Baseline",0.5,0.5,0.5
"164","CEL_baseline_176",5,7,-1,1,0,1,5,"B","Baseline",0.2,0.8,0.8
"165","CEL_baseline_195",5,7,-1,0,0,1,2,"B","Baseline",0,1,1
"166","CEL_baseline_176",6,7,-1,1,0,0,4,"None","Baseline",0.25,0.75,0.75
"167","CEL_baseline_195",6,7,-1,0,0,0,3,"None","Baseline",0,1,1
"168","CEL_baseline_176",7,7,-1,0,0,0,3,"None","Baseline",0,1,1
"169","CEL_baseline_195",7,7,-1,0,0,0,3,"None","Baseline",0,1,1
"170","CEL_baseline_193",1,8,-1,2,1,0,2,"A","Baseline",1,0,1
"171","CEL_baseline_193",2,8,-1,2,0,0,2,"None","Baseline",1,0,1
"172","CEL_baseline_193",3,8,-1,2,0,0,2,"None","Baseline",1,0,1
"173","CEL_baseline_193",4,8,-1,2,0,0,2,"None","Baseline",1,0,1
"174","CEL_baseline_193",5,8,-1,2,0,0,3,"None","Baseline",0.666666666666667,0.333333333333333,0.666666666666667
"175","CEL_baseline_193",6,8,-1,0,0,1,3,"B","Baseline",0,1,1
"176","CEL_baseline_193",7,8,-1,0,0,0,4,"None","Baseline",0,1,1
"177","CEL_baseline_193",8,8,-1,0,0,0,2,"None","Baseline",0,1,1
"178","CEL_161",1,2,0,5,1,0,6,"A","No Labels",0.833333333333333,0.166666666666667,0.833333333333333
"179","CEL_164",1,2,0,7,1,0,12,"A","No Labels",0.583333333333333,0.416666666666667,0.583333333333333
"180","CEL_167",1,2,0,3,1,1,12,"AB","No Labels",0.25,0.75,0.75
"181","CEL_173",1,2,0,7,1,1,11,"AB","No Labels",0.636363636363636,0.363636363636364,0.636363636363636
"182","CEL_176",1,2,0,10,1,0,11,"A","No Labels",0.909090909090909,0.0909090909090909,0.909090909090909
"183","CEL_179",1,2,0,7,1,0,14,"A","No Labels",0.5,0.5,0.5
"184","CEL_188",1,2,0,3,1,1,4,"AB","No Labels",0.75,0.25,0.75
"185","CEL_191",1,2,0,10,1,0,10,"A","No Labels",1,0,1
"186","CEL_204",1,2,0,10,1,0,10,"A","No Labels",1,0,1
"187","CEL_237",1,2,0,7,1,1,12,"AB","No Labels",0.583333333333333,0.416666666666667,0.583333333333333
"188","CEL_240",1,2,0,10,1,0,10,"A","No Labels",1,0,1
"189","CEL_244",1,2,0,5,1,0,7,"A","No Labels",0.714285714285714,0.285714285714286,0.714285714285714
"190","CEL_246",1,2,0,6,1,0,6,"A","No Labels",1,0,1
"191","CEL_253",1,2,0,10,1,0,10,"A","No Labels",1,0,1
"192","CEL_161",2,2,0,5,0,1,14,"B","No Labels",0.357142857142857,0.642857142857143,0.642857142857143
