participant	n_clusters	cond_numeric	log_cat_ratio
CEL_130	7	1	0.233410124
CEL_142	6	0	0.457734552
CEL_145	8	0	0.128199763
CEL_146	7	1	0.136647993
CEL_147	2	1	0.608863806
CEL_149	2	1	0.673738693
CEL_150	2	1	2.640497419
CEL_151	4	0	0.056515088
CEL_152	5	1	0.096790818
CEL_153	7	1	0.359576182
CEL_154	5	0	0.238239603
CEL_155	5	1	0.216609455
CEL_156	3	1	0.593823576
CEL_158	7	1	0.619672413
CEL_159	2	1	0.823884605
CEL_160	7	0	0.068045533
CEL_161	2	0	0.186648533
CEL_162	3	1	-0.088679397
CEL_163	2	1	0.874278954
CEL_164	2	0	0.132974719
CEL_165	3	1	0.644798121
CEL_166	2	1	1.577484959
CEL_167	2	0	0.414479226
CEL_169	2	1	0.957981119
CEL_170	7	0	0.246953375
CEL_171	2	1	0.063209417
CEL_172a	2	1	0.05966933
CEL_173	2	0	0.060952018
CEL_174	3	1	0.690916877
CEL_175	2	1	1.213874357
CEL_176	2	0	0.810794887
CEL_177	5	1	0.387914136
CEL_178	2	1	0.464966709
CEL_179	2	0	0.007898437
CEL_180	3	1	0.357328677
CEL_181	3	1	0.391002053
CEL_182	4	0	0.321585343
CEL_183	2	1	0.880233664
CEL_185	7	0	0.138131822
CEL_186	2	1	0.287964438
CEL_187	2	1	-0.014029319
CEL_188	2	0	0.026725076
CEL_189	4	1	0.21872485
CEL_190	2	1	0.828970272
CEL_191	2	0	1.447552196
CEL_194	4	1	0.268301387
CEL_195	3	1	0.465898301
CEL_196	3	0	0.114551626
CEL_198	2	1	0.317825176
CEL_204	2	0	1.285185059
CEL_210	3	0	0.351067344
CEL_214	2	1	0.242387714
CEL_216	7	0	0.973289473
CEL_220	2	1	-0.054489532
CEL_221	5	0	0.08372716
CEL_223	5	0	0.394118085
CEL_224	2	1	0.383595676
CEL_226	3	1	0.937859279
CEL_229	4	0	0.132349623
CEL_230	4	0	1.039431571
CEL_232	3	0	1.356612813
CEL_233	3	0	0.16773509
CEL_234	5	0	0.195700289
CEL_235	4	0	0.049389647
CEL_237	2	0	0.076787631
CEL_238	3	0	0.729209286
CEL_239	4	0	0.135411676
CEL_240	2	0	0.898722393
CEL_241	4	0	0.477975759
CEL_243	3	0	0.059969662
CEL_244	2	0	0.136471544
CEL_245	9	0	0.259072957
CEL_246	2	0	0.311573041
CEL_247	6	0	0.104945348
CEL_248	6	0	0.593723464
CEL_249	5	0	0.347512656
CEL_250	7	0	0.647032935
CEL_252	6	0	0.123341547
CEL_253	2	0	1.206923532
CEL_43	4	1	0.220128212
CEL_baseline_113	5	-1	0.136441627
CEL_baseline_114	3	-1	0.242876311
CEL_baseline_115	4	-1	0.2215584
CEL_baseline_116	5	-1	0.280682312
CEL_baseline_118	5	-1	-0.066796051
CEL_baseline_120	5	-1	-0.005659979
CEL_baseline_123	3	-1	0.3651375
CEL_baseline_124	2	-1	0.090431415
CEL_baseline_125	3	-1	-0.018682389
CEL_baseline_126	4	-1	0.006696422
CEL_baseline_128	2	-1	0.914291174
CEL_baseline_129	3	-1	1.07280287
CEL_baseline_130	3	-1	0.264998033
CEL_baseline_131	4	-1	0.227739309
CEL_baseline_133	2	-1	-0.002317724
CEL_baseline_134	4	-1	0.152119223
CEL_baseline_135	4	-1	0.376474817
CEL_baseline_137	4	-1	0.10045518
CEL_baseline_162	2	-1	0.434024199
CEL_baseline_165	4	-1	0.223624136
CEL_baseline_166	4	-1	0.146715943
CEL_baseline_167	6	-1	0.073317675
CEL_baseline_168	2	-1	0.06222896
CEL_baseline_169	2	-1	0.015236417
CEL_baseline_170	3	-1	0.01280229
CEL_baseline_171	4	-1	0.410811993
CEL_baseline_172	4	-1	0.32347555
CEL_baseline_173	3	-1	0.07388028
CEL_baseline_176	7	-1	0.384077036
CEL_baseline_177	2	-1	0.997333253
CEL_baseline_179	3	-1	0.266157758
CEL_baseline_181	2	-1	0.238608073
CEL_baseline_182	2	-1	3.445669382
CEL_baseline_183	4	-1	1.160857409
CEL_baseline_184	6	-1	0.680291098
CEL_baseline_185	5	-1	0.239683688
CEL_baseline_186	4	-1	0.49694547
CEL_baseline_187	4	-1	0.196388029
CEL_baseline_188	5	-1	0.22198018
CEL_baseline_189	3	-1	0.17580039
CEL_baseline_191	5	-1	0.421234675
CEL_baseline_193	8	-1	0.69979533
CEL_baseline_195	7	-1	0.118083885
CEL_baseline_196	5	-1	0.152536494
CEL_baseline_197	6	-1	0.845256607
CEL_retention_101	2	1	2.944309327
CEL_retention_103	2	1	0.815107152
CEL_retention_106	2	1	2.738249186
CEL_retention_107	4	1	0.685469429
