cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_113	CEL_baseline_114	-4.55E-05	5	3	0.136441627	0.242876311	0.095868606	-0.135916308
-1	Baseline	CEL_baseline_113	CEL_baseline_115	0.095476501	5	4	0.136441627	0.2215584	0.022591086	0.164713934
-1	Baseline	CEL_baseline_113	CEL_baseline_116	0.108017923	5	5	0.136441627	0.280682312	0.100048916	0.097020951
-1	Baseline	CEL_baseline_113	CEL_baseline_118	-0.030744474	5	5	0.136441627	-0.066796051	-0.011047126	-0.000780078
-1	Baseline	CEL_baseline_113	CEL_baseline_120	0.132207197	5	5	0.136441627	-0.005659979	0.090405892	0.157762055
-1	Baseline	CEL_baseline_113	CEL_baseline_123	0.131942112	5	3	0.136441627	0.3651375	0.048497242	0.197861777
-1	Baseline	CEL_baseline_113	CEL_baseline_124	0.00496971	5	2	0.136441627	0.090431415	0.087103128	-0.088402387
-1	Baseline	CEL_baseline_113	CEL_baseline_125	-0.039192173	5	3	0.136441627	-0.018682389	0.369317826	-0.361854731
-1	Baseline	CEL_baseline_113	CEL_baseline_126	0.1019602	5	4	0.136441627	0.006696422	0.03124872	0.176623489
-1	Baseline	CEL_baseline_113	CEL_baseline_128	0.108475652	5	2	0.136441627	0.914291174	-0.291674417	0.250334699
-1	Baseline	CEL_baseline_113	CEL_baseline_129	0.073928108	5	3	0.136441627	1.07280287	-0.098661867	0.131817714
-1	Baseline	CEL_baseline_113	CEL_baseline_130	0.112544454	5	3	0.136441627	0.264998033	0.101063348	0.064608198
-1	Baseline	CEL_baseline_113	CEL_baseline_131	0.02016659	5	4	0.136441627	0.227739309	-0.019988751	0.04101909
-1	Baseline	CEL_baseline_113	CEL_baseline_133	-0.010092768	5	2	0.136441627	-0.002317724	0.069991294	-0.064572044
-1	Baseline	CEL_baseline_113	CEL_baseline_134	-0.105398954	5	4	0.136441627	0.152119223	-0.054364952	-0.190062789
-1	Baseline	CEL_baseline_113	CEL_baseline_135	-0.0525996	5	4	0.136441627	0.376474817	-0.222665102	0.071553007
-1	Baseline	CEL_baseline_113	CEL_baseline_137	0.167576276	5	4	0.136441627	0.10045518	0.098452848	0.224166936
-1	Baseline	CEL_baseline_113	CEL_baseline_162	-0.046063882	5	2	0.136441627	0.434024199	-0.154825191	-0.049858254
