"","subjCode","cluster_ID","cluster_nc","cond","is_circle","is_protoC","is_protoS","num_items","is_prototype"
"1","A104V8NZIQFN2F",1,2,-1,6,1,1,9,"CS"
"2","A1CE2XPYCDRHVZ",1,2,-1,6,1,0,6,"C"
"3","A1GD3MQELM1R9M",1,2,-1,8,1,1,9,"CS"
"4","A2EPDDX5049SYF",1,2,-1,8,1,1,10,"CS"
"5","A2H9V3NM60R295",1,2,-1,5,1,0,10,"C"
"6","A2X81BPNQWSHR0",1,2,-1,5,1,0,6,"C"
"7","A30X689MOKAFLZ",1,2,-1,8,1,0,9,"C"
"8","A34XR21XZ4ZPMB",1,2,-1,5,1,1,11,"CS"
"9","A3GO56JAHRU2Y1",1,2,-1,8,1,1,9,"CS"
"10","A3NLSGHK6RFXA8",1,2,-1,8,1,0,8,"C"
"11","A3NMQ3019X6YE0",1,2,-1,8,1,1,9,"CS"
"12","A3OLRWACCCCUTU",1,2,-1,8,1,0,8,"C"
"13","A3OOD9IMOHPPFQ",1,2,-1,8,1,1,9,"CS"
"14","AL5MR5NR0VYFI",1,2,-1,8,1,0,10,"C"
"15","ANCCKNF1DKRZO",1,2,-1,8,1,1,14,"CS"
"16","A104V8NZIQFN2F",2,2,-1,2,0,0,7,"None"
"17","A1CE2XPYCDRHVZ",2,2,-1,2,0,1,10,"S"
"18","A1GD3MQELM1R9M",2,2,-1,0,0,0,7,"None"
"19","A2EPDDX5049SYF",2,2,-1,0,0,0,6,"None"
"20","A2H9V3NM60R295",2,2,-1,3,0,1,6,"S"
"21","A2X81BPNQWSHR0",2,2,-1,3,0,1,10,"S"
"22","A30X689MOKAFLZ",2,2,-1,0,0,1,7,"S"
"23","A34XR21XZ4ZPMB",2,2,-1,3,0,0,5,"None"
"24","A3GO56JAHRU2Y1",2,2,-1,0,0,0,7,"None"
"25","A3NLSGHK6RFXA8",2,2,-1,0,0,1,8,"S"
"26","A3NMQ3019X6YE0",2,2,-1,0,0,0,7,"None"
"27","A3OLRWACCCCUTU",2,2,-1,0,0,1,8,"S"
"28","A3OOD9IMOHPPFQ",2,2,-1,0,0,0,7,"None"
"29","AL5MR5NR0VYFI",2,2,-1,0,0,1,6,"S"
"30","ANCCKNF1DKRZO",2,2,-1,0,0,0,2,"None"
"31","A1IVC2RZ2B29K0",1,3,-1,8,1,0,8,"C"
"32","A1KTZE679PHSFQ",1,3,-1,4,1,1,7,"CS"
"33","A2F4MWR5Q5ZUSS",1,3,-1,7,1,0,7,"C"
"34","A2TTPULEGF8963",1,3,-1,7,1,0,8,"C"
"35","A2YDQBA23C2D94",1,3,-1,8,1,0,8,"C"
"36","A2ZBJWQ9ZZHYYI",1,3,-1,6,1,0,6,"C"
"37","A3E76V59BKGKCQ",1,3,-1,5,1,0,5,"C"
"38","A3UQ9R1VDVVQKR",1,3,-1,5,1,0,5,"C"
"39","AE4P5KVUE9HST",1,3,-1,6,1,0,6,"C"
"40","AFO9MCOXXSYY7",1,3,-1,3,1,1,5,"CS"
"41","AJKB6GCZQNDUI",1,3,-1,8,1,0,8,"C"
"42","AT6LDQNLKTUSE",1,3,-1,8,1,0,8,"C"
"43","AZCGF2D7QIO10",1,3,-1,6,1,0,6,"C"
"44","A1IVC2RZ2B29K0",2,3,-1,0,0,1,5,"S"
"45","A1KTZE679PHSFQ",2,3,-1,4,0,0,4,"None"
"46","A2F4MWR5Q5ZUSS",2,3,-1,1,0,1,3,"S"
"47","A2TTPULEGF8963",2,3,-1,1,0,1,2,"S"
"48","A2YDQBA23C2D94",2,3,-1,0,0,1,2,"S"
"49","A2ZBJWQ9ZZHYYI",2,3,-1,2,0,1,4,"S"
"50","A3E76V59BKGKCQ",2,3,-1,3,0,0,3,"None"
"51","A3UQ9R1VDVVQKR",2,3,-1,3,0,1,5,"S"
"52","AE4P5KVUE9HST",2,3,-1,2,0,1,4,"S"
"53","AFO9MCOXXSYY7",2,3,-1,3,0,0,6,"None"
"54","AJKB6GCZQNDUI",2,3,-1,0,0,1,6,"S"
"55","AT6LDQNLKTUSE",2,3,-1,0,0,1,5,"S"
"56","AZCGF2D7QIO10",2,3,-1,2,0,1,5,"S"
"57","A1IVC2RZ2B29K0",3,3,-1,0,0,0,3,"None"
"58","A1KTZE679PHSFQ",3,3,-1,0,0,0,5,"None"
"59","A2F4MWR5Q5ZUSS",3,3,-1,0,0,0,6,"None"
"60","A2TTPULEGF8963",3,3,-1,0,0,0,6,"None"
"61","A2YDQBA23C2D94",3,3,-1,0,0,0,6,"None"
"62","A2ZBJWQ9ZZHYYI",3,3,-1,0,0,0,6,"None"
"63","A3E76V59BKGKCQ",3,3,-1,0,0,1,8,"S"
"64","A3UQ9R1VDVVQKR",3,3,-1,0,0,0,6,"None"
"65","AE4P5KVUE9HST",3,3,-1,0,0,0,6,"None"
"66","AFO9MCOXXSYY7",3,3,-1,2,0,0,5,"None"
"67","AJKB6GCZQNDUI",3,3,-1,0,0,0,2,"None"
"68","AT6LDQNLKTUSE",3,3,-1,0,0,0,3,"None"
"69","AZCGF2D7QIO10",3,3,-1,0,0,0,5,"None"
"70","A179D9OFDS2FK4",1,4,-1,4,1,0,4,"C"
"71","A1AFPXC0FVLK44",1,4,-1,3,1,0,4,"C"
"72","A2SV6TAIJO32BX",1,4,-1,5,1,0,5,"C"
"73","A2ZRL1ZWWXJ0L7",1,4,-1,3,1,0,3,"C"
"74","A31U7VGTEOY2RG",1,4,-1,5,1,0,5,"C"
"75","A3DUPRZSMU9W5R",1,4,-1,5,1,0,5,"C"
"76","A3HHWIXEB86LL3",1,4,-1,4,1,0,4,"C"
"77","A3JIYTOFDKUZGS",1,4,-1,4,1,0,4,"C"
"78","AKVDK30EEV08C",1,4,-1,8,1,0,8,"C"
"79","A179D9OFDS2FK4",2,4,-1,4,0,0,4,"None"
"80","A1AFPXC0FVLK44",2,4,-1,4,0,0,5,"None"
"81","A2SV6TAIJO32BX",2,4,-1,3,0,0,3,"None"
"82","A2ZRL1ZWWXJ0L7",2,4,-1,5,0,0,5,"None"
"83","A31U7VGTEOY2RG",2,4,-1,3,0,1,4,"S"
"84","A3DUPRZSMU9W5R",2,4,-1,1,0,0,5,"None"
"85","A3HHWIXEB86LL3",2,4,-1,4,0,0,5,"None"
"86","A3JIYTOFDKUZGS",2,4,-1,2,0,0,3,"None"
"87","AKVDK30EEV08C",2,4,-1,0,0,1,1,"S"
"88","A179D9OFDS2FK4",3,4,-1,0,0,1,3,"S"
"89","A1AFPXC0FVLK44",3,4,-1,1,0,0,4,"None"
"90","A2SV6TAIJO32BX",3,4,-1,0,0,1,3,"S"
"91","A2ZRL1ZWWXJ0L7",3,4,-1,0,0,1,2,"S"
"92","A31U7VGTEOY2RG",3,4,-1,0,0,0,3,"None"
"93","A3DUPRZSMU9W5R",3,4,-1,2,0,0,4,"None"
"94","A3HHWIXEB86LL3",3,4,-1,0,0,1,4,"S"
"95","A3JIYTOFDKUZGS",3,4,-1,2,0,0,5,"None"
"96","AKVDK30EEV08C",3,4,-1,0,0,0,3,"None"
"97","A179D9OFDS2FK4",4,4,-1,0,0,0,5,"None"
"98","A1AFPXC0FVLK44",4,4,-1,0,0,1,3,"S"
"99","A2SV6TAIJO32BX",4,4,-1,0,0,0,5,"None"
"100","A2ZRL1ZWWXJ0L7",4,4,-1,0,0,0,6,"None"
"101","A31U7VGTEOY2RG",4,4,-1,0,0,0,4,"None"
"102","A3DUPRZSMU9W5R",4,4,-1,0,0,1,2,"S"
"103","A3HHWIXEB86LL3",4,4,-1,0,0,0,3,"None"
"104","A3JIYTOFDKUZGS",4,4,-1,0,0,1,4,"S"
"105","AKVDK30EEV08C",4,4,-1,0,0,0,4,"None"
"106","A3KNO82DZ519HG",1,5,-1,5,1,0,6,"C"
"107","A3KNO82DZ519HG",2,5,-1,2,0,1,4,"S"
"108","A3KNO82DZ519HG",3,5,-1,1,0,0,2,"None"
"109","A3KNO82DZ519HG",4,5,-1,0,0,0,2,"None"
"110","A3KNO82DZ519HG",5,5,-1,0,0,0,2,"None"
"111","A1A3SVRW8UFZEY",1,6,-1,2,1,0,2,"C"
"112","A1C1A02LRDH4CV",1,6,-1,3,1,0,3,"C"
"113","A2ESBX4C2Q6TQY",1,6,-1,2,1,0,2,"C"
"114","AUSX67YB5MXQX",1,6,-1,3,1,1,4,"CS"
"115","A1A3SVRW8UFZEY",2,6,-1,3,0,0,3,"None"
"116","A1C1A02LRDH4CV",2,6,-1,3,0,0,3,"None"
"117","A2ESBX4C2Q6TQY",2,6,-1,3,0,0,3,"None"
"118","AUSX67YB5MXQX",2,6,-1,1,0,0,2,"None"
"119","A1A3SVRW8UFZEY",3,6,-1,2,0,0,2,"None"
"120","A1C1A02LRDH4CV",3,6,-1,2,0,0,2,"None"
"121","A2ESBX4C2Q6TQY",3,6,-1,3,0,0,3,"None"
"122","AUSX67YB5MXQX",3,6,-1,4,0,0,4,"None"
