"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
-1	"100-14"	-0.214627477785373	-0.218017275152948	0.00992375443301896	0.0386266094420601	100	14
-1	"100-117"	-0.163841421736159	-0.165331550686864	0.000245661715785793	-0.00432900432900433	100	117
-1	"100-123"	0.355023923444976	0.371180581670679	0.10529352889992	0.0729613733905579	100	123
-1	"100-51"	0.154066985645933	0.155303657324744	0.139911256252476	0.0814558058925477	100	51
-1	"100-103"	-0.0995898838004101	-0.0999211060802404	0.0946447140023898	0.0833333333333333	100	103
-1	"100-99"	-0.0578947368421053	-0.0579595511091604	0.139531189010647	0.197994987468672	100	99
-1	"100-6"	0.164798359535202	0.166315043895435	-0.00397181936933297	0.0516511430990686	100	6
-1	"100-11"	0.0632262474367738	0.0633107002974256	-0.0491425852679951	-0.0535259133389974	100	11
-1	"100-46"	0.0774436090225564	0.0775989915586302	-0.00904479684998015	0.00869565217391304	100	46
-1	"100-114"	-0.0393028024606972	-0.0393230583854164	0.0462358138630545	0.0833333333333333	100	114
-1	"100-7"	-0.0634313055365687	-0.0635165841019375	-0.0959672899798878	-0.0571923743500867	100	7
-1	"100-59"	-0.0564593301435407	-0.0565194361172026	-0.014404331642538	0.0161153519932146	100	59
-1	"100-9"	0.125495557074504	0.126160668924144	-0.034356419652583	-0.05	100	9
-1	"100-121"	-0.0570061517429939	-0.0570680234157177	-0.0450222751740214	-0.0120068610634648	100	121
-1	"100-77"	-0.07053998632946	-0.070657336612239	0.206888765034608	0.206081081081081	100	77
-1	"100-97"	-0.0698564593301435	-0.0699704246273027	0.0946447140023898	0.0833333333333333	100	97
-1	"100-25"	0.111483253588517	0.111948585708852	0.206888765034608	0.206081081081081	100	25
-1	"100-88"	-0.0926862611073137	-0.092953052240047	0.0367015121752834	0.0646258503401361	100	88
-1	"100-43"	-0.160013670539986	-0.161400725863334	-0.0443412181285044	0.0076988879384089	100	43
-1	"100-44"	0.150034176349966	0.151175399137712	0.139531189010647	0.197994987468672	100	44
-1	"100-69"	0.131237183868763	0.131998508310855	0.164666577952214	0.141630901287554	100	69
-1	"100-8"	-0.091866028708134	-0.0921257756260739	-0.0567242712510815	-0.0622406639004149	100	8
-1	"100-35"	-0.0881066302118934	-0.0883356820881649	-0.033535388074626	0.00599828620394173	100	35
-1	"100-42"	0.135133287764867	0.135964976008745	0.0857679139643726	0.0177815410668925	100	42
-1	"100-61"	-0.0404647983595352	-0.0404869057684851	0.139531189010647	0.197994987468672	100	61
