subjCode,cluster_ID,cluster_nc,cond,is_A,is_B,is_protoA,is_protoB,num_items,is_prototype,Condition,prop_A,prop_B,purity
CEL_baseline_124-0,1,2,-1,6,3,1,0,9,A,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_128-0,1,2,-1,10,3,1,1,13,AB,Baseline,0.769230769,0.230769231,0.769230769
CEL_baseline_133-0,1,2,-1,6,4,1,1,10,AB,Baseline,0.6,0.4,0.6
CEL_baseline_162-0,1,2,-1,8,1,1,0,9,A,Baseline,0.888888889,0.111111111,0.888888889
CEL_baseline_168-0,1,2,-1,7,5,1,1,12,AB,Baseline,0.583333333,0.416666667,0.583333333
CEL_baseline_169-0,1,2,-1,5,5,1,0,10,A,Baseline,0.5,0.5,0.5
CEL_baseline_177-0,1,2,-1,10,0,1,0,10,A,Baseline,1,0,1
CEL_baseline_181-0,1,2,-1,5,4,1,1,9,AB,Baseline,0.555555556,0.444444444,0.555555556
CEL_baseline_182-0,1,2,-1,10,0,1,0,10,A,Baseline,1,0,1
CEL_baseline_124-0,2,2,-1,4,7,0,1,11,B,Baseline,0.363636364,0.636363636,0.636363636
CEL_baseline_128-0,2,2,-1,0,7,0,0,7,None,Baseline,0,1,1
CEL_baseline_133-0,2,2,-1,4,6,0,0,10,None,Baseline,0.4,0.6,0.6
CEL_baseline_162-0,2,2,-1,2,9,0,1,11,B,Baseline,0.181818182,0.818181818,0.818181818
CEL_baseline_168-0,2,2,-1,3,5,0,0,8,None,Baseline,0.375,0.625,0.625
CEL_baseline_169-0,2,2,-1,5,5,0,1,10,B,Baseline,0.5,0.5,0.5
CEL_baseline_177-0,2,2,-1,0,10,0,1,10,B,Baseline,0,1,1
CEL_baseline_181-0,2,2,-1,5,6,0,0,11,None,Baseline,0.454545455,0.545454545,0.545454545
CEL_baseline_182-0,2,2,-1,0,10,0,1,10,B,Baseline,0,1,1
CEL_baseline_114-0,1,3,-1,7,0,1,0,7,A,Baseline,1,0,1
CEL_baseline_123-0,1,3,-1,4,2,1,1,6,AB,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_125-0,1,3,-1,2,4,1,1,6,AB,Baseline,0.333333333,0.666666667,0.666666667
CEL_baseline_129-0,1,3,-1,10,0,1,0,10,A,Baseline,1,0,1
CEL_baseline_130-0,1,3,-1,1,2,1,1,3,AB,Baseline,0.333333333,0.666666667,0.666666667
CEL_baseline_170-0,1,3,-1,2,1,1,0,3,A,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_173-0,1,3,-1,4,2,1,0,6,A,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_179-0,1,3,-1,6,2,1,1,8,AB,Baseline,0.75,0.25,0.75
CEL_baseline_189-0,1,3,-1,4,2,1,1,6,AB,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_114-0,2,3,-1,3,5,0,0,8,None,Baseline,0.375,0.625,0.625
CEL_baseline_123-0,2,3,-1,6,2,0,0,8,None,Baseline,0.75,0.25,0.75
CEL_baseline_125-0,2,3,-1,3,3,0,0,6,None,Baseline,0.5,0.5,0.5
CEL_baseline_129-0,2,3,-1,0,4,0,1,4,B,Baseline,0,1,1
CEL_baseline_130-0,2,3,-1,9,3,0,0,12,None,Baseline,0.75,0.25,0.75
CEL_baseline_170-0,2,3,-1,4,2,0,1,6,B,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_173-0,2,3,-1,4,3,0,0,7,None,Baseline,0.571428571,0.428571429,0.571428571
CEL_baseline_179-0,2,3,-1,4,2,0,0,6,None,Baseline,0.666666667,0.333333333,0.666666667
CEL_baseline_189-0,2,3,-1,5,2,0,0,7,None,Baseline,0.714285714,0.285714286,0.714285714
CEL_baseline_114-0,3,3,-1,0,5,0,1,5,B,Baseline,0,1,1
CEL_baseline_123-0,3,3,-1,0,6,0,0,6,None,Baseline,0,1,1
CEL_baseline_125-0,3,3,-1,5,3,0,0,8,None,Baseline,0.625,0.375,0.625
CEL_baseline_129-0,3,3,-1,0,6,0,0,6,None,Baseline,0,1,1
CEL_baseline_130-0,3,3,-1,0,5,0,0,5,None,Baseline,0,1,1
